id,name,symbol,price,volume_24h,percent_change_24h,market_cap,last_updated,price_change_category
1,Bitcoin,BTC,110011.19054064,25088403220.193596,0.46994929,2193969674630.625,2025-11-01 23:35:00,Rise
2,Litecoin,LTC,100.75856794,752524818.8620822,5.28318695,7705414072.866909,2025-11-01 23:35:00,Rise
3,Namecoin,NMC,1.47276971,7599.62557192,-0.01281402,21703323.54683026,2025-11-01 23:35:00,Drop
5,Peercoin,PPC,0.35819861,6673.77609968,1.88229435,10698383.10016023,2025-11-01 23:35:00,Rise
8,Feathercoin,FTC,0.00220022,1019.05566022,-2.74988046,520573.08916117,2025-11-01 23:35:00,Drop
22,Luckycoin,LKY,0.19504073,79052.81206132,0.10061731,2354310.89530011,2025-11-01 23:35:00,Rise
25,Goldcoin,GLC,0.01450715,3229.15805384,111.90455511,633693.15045381,2025-11-01 23:35:00,Rise
26,Junkcoin,JKC,0.01756718,3748.53730941,-1.23309623,313455.84220541,2025-11-01 23:35:00,Drop
35,Phoenixcoin,PXC,0.01650167,2.310235,0.4558553,1531860.65829568,2025-11-01 23:35:00,Rise
42,Primecoin,XPM,0.039604,628.16719832,0.4558553,2206090.2761263,2025-11-01 23:35:00,Rise
52,XRP,XRP,2.50151931,2004281528.006316,-0.30895929,150359319279.10782,2025-11-01 23:35:00,Drop
72,Deutsche eMark,DEM,0.00220022,64.74048552,-33.0294298,348142.0754908,2025-11-01 23:35:00,Drop
74,Dogecoin,DOGE,0.18702887,858075796.589499,0.3146663,28353179429.33237,2025-11-01 23:35:00,Rise
77,Diamond,DMD,2.38390834,89559.072073,-4.16281967,9253337.04328531,2025-11-01 23:35:00,Drop
90,Dimecoin,DIME,3.4e-07,0.55717848,1.792132,162900.68138508,2025-11-01 23:35:00,Rise
99,Vertcoin,VTC,0.06719779,14997.51641499,0.86570554,4921217.30281631,2025-11-01 23:35:00,Rise
109,DigiByte,DGB,0.00622747,2447947.83730964,5.87435381,111971725.25659794,2025-11-01 23:35:00,Rise
131,Dash,DASH,73.44703606,858962312.4548247,42.22864192,915882103.821142,2025-11-01 23:35:00,Rise
132,Counterparty,XCP,3.03690093,0.0,0.0,7867935.18889682,2025-11-01 23:35:00,Drop
154,Marscoin,MARS,0.05713271,11281.28603262,2.09404646,0.0,2025-11-01 18:29:00,Rise
162,Magic Internet Money,MIM,0.99866571,14084.11524177,0.01817716,0.0,2025-11-01 23:35:00,Rise
213,MonaCoin,MONA,0.09807444,23498.24314405,3.70707309,6446401.01050225,2025-11-01 23:35:00,Rise
215,Rubycoin,RBY,0.10494254,523079.56715256,22.25274843,0.0,2025-11-01 23:35:00,Rise
258,Groestlcoin,GRS,0.22107257,35498.01252586,-0.44562008,19615415.51806372,2025-11-01 23:36:00,Drop
268,WhiteCoin,XWC,0.00957539,186726.77439947,-0.22870323,7318706.67088787,2025-11-01 23:35:00,Drop
293,Bitcoin Plus,XBC,0.99013272,6.49278475,-39.44192448,272161.40661813,2025-11-01 23:35:00,Drop
328,Monero,XMR,348.34211263,157791970.86495605,4.29535358,6425777801.718887,2025-11-01 23:35:00,Rise
362,CloakCoin,CLOAK,0.02946198,0.0,0.0,178985.96240522,2025-11-01 23:35:00,Drop
372,Bytecoin,BCN,2.838e-05,0.0,0.12781505,5223956.13385636,2025-11-01 23:35:00,Rise
463,BitShares,BTS,0.00103077,80134.42243873,-0.86039445,3087232.56143442,2025-11-01 23:35:00,Drop
506,CannabisCoin,CANN,0.00224908,0.0,0.0,722236.64489186,2025-11-01 23:35:00,Drop
512,Stellar,XLM,0.30489847,127909343.66373149,-0.05420325,9771573096.323854,2025-11-01 23:35:00,Drop
541,Syscoin,SYS,0.02827062,1597092.75952864,4.54325114,23859635.68734206,2025-11-01 23:36:00,Rise
576,GameCredits,GAME,0.00049631,0.0,2.71263493,96196.96348029,2025-11-01 23:35:00,Rise
601,Acoin,ACOIN,0.00554221,0.0,0.0,6761.96651325,2025-11-01 23:35:00,Drop
638,Trollcoin,TROLL,0.00110011,0.0,0.4558553,652157.01192307,2025-11-01 23:35:00,Rise
693,Verge,XVG,0.00694351,59706314.26706682,18.4689276,114720311.00775704,2025-11-01 23:35:00,Rise
788,Circuits of Value,COVAL,0.00046543,13784.91113698,0.16198992,830714.10576877,2025-11-01 23:35:00,Rise
825,Tether USDt,USDT,0.99953608,74833322507.45518,0.00270048,183368474015.2378,2025-11-01 23:35:00,Rise
873,NEM,XEM,0.00143368,1632842.67780282,6.18546885,12903151.01341002,2025-11-01 23:35:00,Rise
